PW,Power REIT,$7.98M,United States,n/a,Real Estate Investment Trusts,AMEX
PW^A,Power REIT,n/a,United States,n/a,n/a,AMEX
PLX,"Protalix BioTherapeutics, Inc.",$87.83M,Israel,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
PVCT,"Provectus Biopharmaceuticals, Inc.",$76.74M,United States,n/a,Major Pharmaceuticals,AMEX
PVCT.WS,"Provectus Biopharmaceuticals, Inc.",n/a,United States,n/a,n/a,AMEX
RLGT,"Radiant Logistics, Inc.",$172.07M,United States,n/a,Oil Refining/Marketing,AMEX
RLGT^A,"Radiant Logistics, Inc.",n/a,United States,n/a,n/a,AMEX
UTG,Reaves Utility Income Fund,$926.48M,United States,2004,n/a,AMEX
REED,"Reeds, Inc.",$63.83M,United States,n/a,Beverages (Production/Distribution),AMEX
RWC,RELM Wireless Corporation,$66.18M,United States,n/a,Radio And Television Broadcasting And Communications Equipment,AMEX
RCG,"RENN Fund, Inc.",$4.29M,United States,n/a,n/a,AMEX
RVP,"Retractable Technologies, Inc.",$60.53M,United States,n/a,Medical/Dental Instruments,AMEX
RNN,"Rexahn Pharmaceuticals, Inc.",$68.24M,United States,n/a,Major Pharmaceuticals,AMEX
RIC,"Richmont Mines, Inc.",$303.79M,Canada,n/a,Precious Metals,AMEX
REI,"Ring Energy, Inc.",$151.98M,United States,n/a,Oil & Gas Production,AMEX
RIF,RMR Real Estate Income Fund.,$143.7M,n/a,n/a,n/a,AMEX
SGA,"Saga Communications, Inc.",$231.98M,United States,n/a,Broadcasting,AMEX
SSN,Samson Oil & Gas Limited,$13.76M,United States,n/a,Oil & Gas Production,AMEX
SPP,Sanchez Production Partners LP,$35.3M,United States,n/a,Oil & Gas Production,AMEX
SAND,Sandstorm Gold Ltd,$424.83M,Canada,n/a,Precious Metals,AMEX
SEB,Seaboard Corporation,$3.24B,United States,1996,Investment Bankers/Brokers/Service,AMEX
SENS,"Senseonics Holdings, Inc.",$208.34M,United States,n/a,Industrial Machinery/Components,AMEX
SVT,"Servotronics, Inc.",$17.8M,United States,n/a,Industrial Machinery/Components,AMEX
SIF,"SIFCO Industries, Inc.",$45.01M,United States,n/a,Aerospace,AMEX
SKY,Skyline Corporation,$69.65M,United States,n/a,Homebuilding,AMEX
SLI,"SL Industries, Inc.",$135.47M,United States,n/a,Industrial Machinery/Components,AMEX
XPL,Solitario Exploration & Royalty Corp,$19.15M,United States,n/a,Precious Metals,AMEX
SCE^B,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SCE^C,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SCE^D,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SCE^E,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SGB,Southwest Georgia Financial Corporation,$38.22M,United States,n/a,Major Banks,AMEX
LOV,"Spark Networks, Inc.",$64.61M,United States,n/a,Business Services,AMEX
STRP,Straight Path Communications Inc.,$348.81M,United States,2013,Telecommunications Equipment,AMEX
SSY,"SunLink Health Systems, Inc.",$4.63M,United States,n/a,Hospital/Nursing Management,AMEX
SDPI,"Superior Drilling Products, Inc.",$26.15M,n/a,2014,Metal Fabrications,AMEX
STS,"Supreme Industries, Inc.",$149.32M,United States,n/a,Construction/Ag Equipment/Trucks,AMEX
SYRG,Synergy Resources Corporation,$818.2M,United States,n/a,Oil & Gas Production,AMEX
SYN,"Synthetic Biologics, Inc",$204.36M,United States,n/a,Major Pharmaceuticals,AMEX
TRX,Tanzanian Royalty Exploration Corporation,$24.1M,Canada,n/a,Precious Metals,AMEX
TGB,Taseko Mines Limited,$119.91M,Canada,n/a,Precious Metals,AMEX
TIK,Tel-Instrument Electronics Corp.,$13.97M,United States,n/a,Electrical Products,AMEX
TGC,"Tengasco, Inc.",$8.64M,United States,n/a,Oil & Gas Production,AMEX
GLU,The Gabelli Global Utility and Income Trust,$71.18M,United States,2004,n/a,AMEX
GLU^A,The Gabelli Global Utility and Income Trust,n/a,United States,n/a,n/a,AMEX
TXMD,"TherapeuticsMD, Inc.",$1.22B,United States,n/a,Major Pharmaceuticals,AMEX
TPI,"Tianyin Pharmaceutical Co., Inc.",$4.41M,China,n/a,Major Pharmaceuticals,AMEX
TGD,Timmons Gold Corp,$66.88M,Canada,2011,Precious Metals,AMEX
TOF,Tofutti Brands Inc.,$16.49M,United States,n/a,Specialty Foods,AMEX
TMP,Tompkins Financial Corporation,$947.29M,United States,n/a,Major Banks,AMEX
TAT,Transatlantic Petroleum Ltd,$30.83M,Turkey,n/a,Oil & Gas Production,AMEX
TRXC,"TransEnterix, Inc.",$464.67M,United States,n/a,Medical/Dental Instruments,AMEX
TPLM,Triangle Petroleum Corporation,$42.38M,United States,n/a,Oil & Gas Production,AMEX
TPHS,Trinity Place Holdings Inc.,$172.06M,n/a,n/a,Clothing/Shoe/Accessory Stores,AMEX
TRT,Trio-Tech International,$11.25M,United States,n/a,Industrial Machinery/Components,AMEX
HTM,U.S. Geothermal Inc.,$72.74M,United States,n/a,Electric Utilities: Central,AMEX
UFAB,"Unique Fabricating, Inc.",$115.23M,United States,2015,Auto Parts:O.E.M.,AMEX
UAMY,United States Antimony Corporation,$12.6M,United States,n/a,Metal Fabrications,AMEX
UUU,"Universal Security Instruments, Inc.",$9.36M,United States,n/a,Electronic Components,AMEX
UQM,UQM TECHNOLOGIES INC,$26.55M,United States,n/a,Industrial Machinery/Components,AMEX
URG,Ur Energy Inc,$72.09M,Canada,n/a,Precious Metals,AMEX
UEC,Uranium Energy Corp.,$75.46M,Canada,n/a,Precious Metals,AMEX
VSR,"Versar, Inc.",$24.58M,United States,1986,Military/Government/Technical,AMEX
VII,"Vicon Industries, Inc.",$9.15M,United States,n/a,Telecommunications Equipment,AMEX
VHC,VirnetX Holding Corp,$251.15M,United States,n/a,Multi-Sector Companies,AMEX
VGZ,Vista Gold Corporation,$36.49M,United States,n/a,Precious Metals,AMEX
VNRX,VolitionRX Limited,$71.68M,Singapore,2015,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
VISI,"Volt Information Sciences, Inc.",$149.56M,United States,n/a,Professional Services,AMEX
EAD,Wells Fargo Income Opportunities Fund,$525.27M,United States,2003,n/a,AMEX
ERC,Wells Fargo Multi-Sector Income Fund,$500.88M,United States,2003,n/a,AMEX
ERH,Wells Fargo Utilities and High Income Fund,$117.35M,n/a,2004,n/a,AMEX
SBI,Western Asset Intermediate Muni Fund Inc,$146.82M,United States,1992,n/a,AMEX
WRN,Western Copper and Gold Corporation,$49.11M,Canada,2011,Precious Metals,AMEX
WYY,WidePoint Corporation,$54.96M,United States,n/a,EDP Services,AMEX
WTT,"Wireless Telecom Group,  Inc.",$29.24M,United States,n/a,Electrical Products,AMEX
XTNT,"Xtant Medical Holdings, Inc.",$29.72M,n/a,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
YUMA,"Yuma Energy, Inc.",$14.33M,United States,n/a,Oil & Gas Production,AMEX
YUMA^A,"Yuma Energy, Inc.",n/a,United States,n/a,n/a,AMEX
