BVX,Bovie Medical Corporation,$46.26M,United States,n/a,Medical/Dental Instruments,AMEX
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,AMEX
BTI,British American Tobacco p.l.c.,$106.31B,United Kingdom,n/a,Farming/Seeds/Milling,AMEX
CANF,Can-Fite Biopharma Ltd,$29.2M,Israel,n/a,Major Pharmaceuticals,AMEX
ROX,"Castle Brands, Inc.",$136.19M,United States,2006,Beverages (Production/Distribution),AMEX
CAW,"CCA Industries, Inc.",$24.17M,United States,n/a,Package Goods/Cosmetics,AMEX
CVM,Cel-Sci Corporation,$71.48M,United States,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
CVM.WS,Cel-Sci Corporation,n/a,United States,n/a,n/a,AMEX
CEF,Central Fund of Canada Limited,$3.01B,Canada,n/a,n/a,AMEX
CET,Central Securities Corporation,$469.89M,United States,n/a,n/a,AMEX
LEU,Centrus Energy Corp.,$30.87M,United States,2014,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
CCF,Chase Corporation,$464.3M,United States,n/a,Building Products,AMEX
CQH,"Cheniere Energy Partners LP Holdings, LLC",$3.98B,n/a,2013,Oil/Gas Transmission,AMEX
CQP,"Cheniere Energy Partners, LP",$9.35B,United States,2007,Oil/Gas Transmission,AMEX
LNG,"Cheniere Energy, Inc.",$7.82B,United States,n/a,Oil/Gas Transmission,AMEX
CVR,Chicago Rivet & Machine Co.,$23.62M,United States,n/a,Industrial Machinery/Components,AMEX
CNR,China Metro-Rural Holdings Limited,$63.29M,Hong Kong,n/a,Real Estate,AMEX
CPHI,"China Pharma Holdings, Inc.",$9.13M,China,n/a,Major Pharmaceuticals,AMEX
CKX,"CKX Lands, Inc.",$20.1M,United States,n/a,Oil & Gas Production,AMEX
GLV,Clough Global Allocation Fund,$119M,United States,2004,n/a,AMEX
GLQ,Clough Global Equity Fund,$189.6M,United States,2005,n/a,AMEX
GLO,Clough Global Opportunities Fund,$482.73M,United States,2006,n/a,AMEX
MOC,Command Security Corporation,$23.5M,United States,n/a,Diversified Commercial Services,AMEX
CIX,CompX International Inc.,$136.52M,United States,1998,Industrial Machinery/Components,AMEX
LODE,"Comstock Mining, Inc.",$68.12M,United States,n/a,Precious Metals,AMEX
CTO,Consolidated-Tomoka Land Co.,$274.54M,United States,n/a,Real Estate,AMEX
MCF,Contango Oil & Gas Company,$225.14M,United States,n/a,Oil & Gas Production,AMEX
