Title1,Title2
1427932800000,8.87
1427846400000,8.73
1427760000000,8.40
1427673600000,8.45
1427414400000,8.41
1427328000000,8.38
1427241600000,8.51
1427155200000,8.78
1427068800000,8.71
1426809600000,8.17
1426723200000,7.84
1426636800000,7.95
1426550400000,7.55
1426464000000,7.50
1426204800000,7.27
1426118400000,7.23
1426032000000,7.27
1425945600000,7.18
1425859200000,7.06
1425600000000,7.12
1425513600000,7.51
1425427200000,7.44
1425340800000,7.66
1425254400000,7.75
1424995200000,7.41
1424908800000,7.41
1424822400000,7.42
1424736000000,7.64
1424649600000,7.51
1424390400000,7.62
1424304000000,7.68
1424217600000,7.70
1424131200000,7.85
1423785600000,7.96
1423699200000,7.93
1423612800000,7.86
1423526400000,7.72
1423440000000,7.64
1423180800000,7.90
1423094400000,7.98
1423008000000,8.10
1422921600000,7.97
1422835200000,7.97
1422576000000,7.71
1422489600000,7.84
1422403200000,7.94
1422316800000,7.95
1422230400000,7.93
1421971200000,8.16
1421884800000,8.80
1421798400000,8.69
1421712000000,8.93
1421366400000,9.13
1421280000000,8.75
1421193600000,9.09
1421107200000,9.15
1421020800000,8.70
1420761600000,8.72
1420675200000,8.91
1420588800000,8.77
1420502400000,8.66
1420416000000,8.84
1420156800000,9.06
1419984000000,9.16
1419897600000,9.13
1419811200000,9.21
1419552000000,9.31
1419379200000,9.19
1419292800000,9.22
1419206400000,9.19
1418947200000,8.92
1418860800000,8.88
1418774400000,8.30
1418688000000,8.00
1418601600000,7.96
1418342400000,8.00
1418256000000,8.10
1418169600000,7.86
1418083200000,8.16
1417996800000,7.60
1417737600000,7.71
1417651200000,7.63
1417564800000,7.66
1417478400000,7.68
1417392000000,7.74
1417132800000,7.78
1416960000000,8.04
1416873600000,7.86
1416787200000,7.76
1416528000000,7.57
1416441600000,7.63
1416355200000,7.52
1416268800000,7.71
1416182400000,7.70
1415923200000,8.01
1415836800000,7.92
1415750400000,7.96
1415664000000,7.98
1415577600000,7.94
1415318400000,7.64
1415232000000,7.53
1415145600000,7.57
1415059200000,7.71
1414972800000,7.73
1414713600000,7.86
1414627200000,7.82
1414540800000,7.75
1414454400000,7.94
1414368000000,7.58
1414108800000,7.28
1414022400000,7.70
1413936000000,6.70
1413849600000,6.86
1413763200000,6.94
1413504000000,7.01
1413417600000,7.01
1413331200000,6.89
1413244800000,6.06
